,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,"Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação",Variável (Código),Variável,Mês (Código),Mês,Produto das lavouras (Código),Produto das lavouras
1,1,Brasil,1006,Hectares,82763116,1,Brasil,109,Área plantada,202511,novembro 2025,39428,"1 Cereais, leguminosas e oleaginosas"
2,1,Brasil,1006,Hectares,2005396,1,Brasil,109,Área plantada,202511,novembro 2025,39429,1.1 Algodão herbáceo
3,1,Brasil,1006,Hectares,324117,1,Brasil,109,Área plantada,202511,novembro 2025,39430,1.2 Amendoim (1ª Safra)
4,1,Brasil,1006,Hectares,17854,1,Brasil,109,Área plantada,202511,novembro 2025,39431,1.3 Amendoim (2ª Safra)
5,1,Brasil,1006,Hectares,1685269,1,Brasil,109,Área plantada,202511,novembro 2025,39432,1.4 Arroz
6,1,Brasil,1006,Hectares,582738,1,Brasil,109,Área plantada,202511,novembro 2025,39433,1.5 Aveia
7,1,Brasil,1006,Hectares,173238,1,Brasil,109,Área plantada,202511,novembro 2025,82223,1.6 Canola
8,1,Brasil,1006,Hectares,5235,1,Brasil,109,Área plantada,202511,novembro 2025,39434,1.7 Centeio
9,1,Brasil,1006,Hectares,138491,1,Brasil,109,Área plantada,202511,novembro 2025,39435,1.8 Cevada
10,1,Brasil,1006,Hectares,1235245,1,Brasil,109,Área plantada,202511,novembro 2025,39436,1.9 Feijão (1ª Safra)
11,1,Brasil,1006,Hectares,1124576,1,Brasil,109,Área plantada,202511,novembro 2025,39437,1.10 Feijão (2ª Safra)
12,1,Brasil,1006,Hectares,282002,1,Brasil,109,Área plantada,202511,novembro 2025,39438,1.11 Feijão (3ª Safra)
13,1,Brasil,1006,Hectares,569165,1,Brasil,109,Área plantada,202511,novembro 2025,82224,1.12 Gergelim
14,1,Brasil,1006,Hectares,62584,1,Brasil,109,Área plantada,202511,novembro 2025,39439,1.13 Girassol
15,1,Brasil,1006,Hectares,53037,1,Brasil,109,Área plantada,202511,novembro 2025,39440,1.14 Mamona
16,1,Brasil,1006,Hectares,4819609,1,Brasil,109,Área plantada,202511,novembro 2025,39441,1.15 Milho (1ª Safra)
17,1,Brasil,1006,Hectares,18009556,1,Brasil,109,Área plantada,202511,novembro 2025,39442,1.16 Milho (2ª Safra)
18,1,Brasil,1006,Hectares,47765725,1,Brasil,109,Área plantada,202511,novembro 2025,39443,1.17 Soja
19,1,Brasil,1006,Hectares,1488429,1,Brasil,109,Área plantada,202511,novembro 2025,39444,1.18 Sorgo
20,1,Brasil,1006,Hectares,2406543,1,Brasil,109,Área plantada,202511,novembro 2025,39445,1.19 Trigo
21,1,Brasil,1006,Hectares,14307,1,Brasil,109,Área plantada,202511,novembro 2025,39446,1.20 Triticale
22,1,Brasil,1006,Hectares,475367,1,Brasil,109,Área plantada,202511,novembro 2025,39449,4 Banana
23,1,Brasil,1006,Hectares,60388,1,Brasil,109,Área plantada,202511,novembro 2025,39450,5 Batata - inglesa (1ª Safra)
24,1,Brasil,1006,Hectares,44657,1,Brasil,109,Área plantada,202511,novembro 2025,39451,6 Batata - inglesa (2ª Safra)
25,1,Brasil,1006,Hectares,26989,1,Brasil,109,Área plantada,202511,novembro 2025,39452,7 Batata - inglesa (3ª Safra)
26,1,Brasil,1006,Hectares,643088,1,Brasil,109,Área plantada,202511,novembro 2025,39453,8 Cacau
