,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de inspeção (Código),Tipo de inspeção
1,1,Brasil,1020,Unidades,593,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
2,1,Brasil,1020,Unidades,80,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
3,1,Brasil,1020,Unidades,247,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
4,1,Brasil,1020,Unidades,266,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
5,1,Brasil,1020,Unidades,593,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
6,1,Brasil,1020,Unidades,80,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
7,1,Brasil,1020,Unidades,247,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
8,1,Brasil,1020,Unidades,266,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
9,1,Brasil,1020,Unidades,593,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
10,1,Brasil,1020,Unidades,80,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
11,1,Brasil,1020,Unidades,247,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
12,1,Brasil,1020,Unidades,266,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
13,1,Brasil,1020,Unidades,593,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
14,1,Brasil,1020,Unidades,80,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
15,1,Brasil,1020,Unidades,247,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
16,1,Brasil,1020,Unidades,266,1,Brasil,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
17,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
18,1,Brasil,2,Percentual,13.49,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
19,1,Brasil,2,Percentual,41.65,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
20,1,Brasil,2,Percentual,44.86,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
21,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
22,1,Brasil,2,Percentual,13.49,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
23,1,Brasil,2,Percentual,41.65,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
24,1,Brasil,2,Percentual,44.86,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
25,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
26,1,Brasil,2,Percentual,13.49,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
27,1,Brasil,2,Percentual,41.65,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
28,1,Brasil,2,Percentual,44.86,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
29,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
30,1,Brasil,2,Percentual,13.49,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
31,1,Brasil,2,Percentual,41.65,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
32,1,Brasil,2,Percentual,44.86,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
33,1,Brasil,24,Cabeças,15814335,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
34,1,Brasil,24,Cabeças,12722623,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
35,1,Brasil,24,Cabeças,2500622,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
36,1,Brasil,24,Cabeças,591090,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115236,Total do trimestre,111739,Municipal
37,1,Brasil,24,Cabeças,5520350,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,118225,Total
38,1,Brasil,24,Cabeças,4438168,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111737,Federal
39,1,Brasil,24,Cabeças,882948,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111738,Estadual
40,1,Brasil,24,Cabeças,199234,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115233,No 1º mês,111739,Municipal
41,1,Brasil,24,Cabeças,5118126,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,118225,Total
42,1,Brasil,24,Cabeças,4108504,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111737,Federal
43,1,Brasil,24,Cabeças,812286,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111738,Estadual
44,1,Brasil,24,Cabeças,197336,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115234,No 2º mês,111739,Municipal
45,1,Brasil,24,Cabeças,5175859,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,118225,Total
46,1,Brasil,24,Cabeças,4175951,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111737,Federal
47,1,Brasil,24,Cabeças,805388,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111738,Estadual
48,1,Brasil,24,Cabeças,194520,1,Brasil,284,Animais abatidos,202503,3º trimestre 2025,115235,No 3º mês,111739,Municipal
49,1,Brasil,2,Percentual,100.00,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,118225,Total
50,1,Brasil,2,Percentual,80.45,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111737,Federal
51,1,Brasil,2,Percentual,15.81,1,Brasil,1000284,Animais abatidos - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111738,Estadual
